"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	121	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	560	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	903	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	948	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"15-19 years"	"15-19"	Suppressed	996	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"20-24 years"	"20-24"	Suppressed	452	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"25-34 years"	"25-34"	Suppressed	1224	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"35-44 years"	"35-44"	Suppressed	2091	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"45-54 years"	"45-54"	Suppressed	2075	Suppressed
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"55-64 years"	"55-64"	15	2226	673.85 (Unreliable)
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"65-74 years"	"65-74"	32	1959	1633.49
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"75-84 years"	"75-84"	65	1118	5813.95
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"85+ years"	"85+"	45	389	11568.12
	"Aitkin County, MN"	"27001"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	143	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	565	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	895	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"10-14 years"	"10-14"	Suppressed	947	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"15-19 years"	"15-19"	Suppressed	1006	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"20-24 years"	"20-24"	Suppressed	486	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"25-34 years"	"25-34"	Suppressed	1214	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"35-44 years"	"35-44"	Suppressed	2092	Suppressed
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"45-54 years"	"45-54"	11	2143	513.30 (Unreliable)
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"55-64 years"	"55-64"	20	2304	868.06
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"65-74 years"	"65-74"	38	1983	1916.29
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"75-84 years"	"75-84"	52	1129	4605.85
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"85+ years"	"85+"	59	394	14974.62
	"Aitkin County, MN"	"27001"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	156	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	536	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	811	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"10-14 years"	"10-14"	Suppressed	964	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"15-19 years"	"15-19"	Suppressed	988	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"20-24 years"	"20-24"	Suppressed	529	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"25-34 years"	"25-34"	Suppressed	1172	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"35-44 years"	"35-44"	Suppressed	2012	Suppressed
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"45-54 years"	"45-54"	11	2229	493.49 (Unreliable)
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"55-64 years"	"55-64"	15	2380	630.25 (Unreliable)
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"65-74 years"	"65-74"	41	2015	2034.74
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"75-84 years"	"75-84"	58	1151	5039.10
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"85+ years"	"85+"	57	391	14578.01
	"Aitkin County, MN"	"27001"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	132	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"1-4 years"	"1-4"	Suppressed	548	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	828	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	963	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"15-19 years"	"15-19"	Suppressed	986	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"20-24 years"	"20-24"	Suppressed	592	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"25-34 years"	"25-34"	Suppressed	1166	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"35-44 years"	"35-44"	Suppressed	2006	Suppressed
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"45-54 years"	"45-54"	10	2245	445.43 (Unreliable)
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"55-64 years"	"55-64"	18	2506	718.28 (Unreliable)
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"65-74 years"	"65-74"	44	2078	2117.42
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"75-84 years"	"75-84"	47	1161	4048.23
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"85+ years"	"85+"	61	405	15061.73
	"Aitkin County, MN"	"27001"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	153	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	556	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	798	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	924	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"15-19 years"	"15-19"	Suppressed	954	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"20-24 years"	"20-24"	Suppressed	627	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"25-34 years"	"25-34"	Suppressed	1146	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"35-44 years"	"35-44"	Suppressed	1950	Suppressed
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"45-54 years"	"45-54"	10	2303	434.22 (Unreliable)
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"55-64 years"	"55-64"	13	2607	498.66 (Unreliable)
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"65-74 years"	"65-74"	41	2197	1866.18
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"75-84 years"	"75-84"	35	1165	3004.29
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"85+ years"	"85+"	61	415	14698.80
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	160	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	559	Suppressed
