"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"< 1 year"	"1"	606	58787	1030.84
	"Alabama"	"01"	"1999"	"1999"	"1-4 years"	"1-4"	121	236153	51.24
	"Alabama"	"01"	"1999"	"1999"	"5-9 years"	"5-9"	86	315749	27.24
	"Alabama"	"01"	"1999"	"1999"	"10-14 years"	"10-14"	98	317379	30.88
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	338	327789	103.12
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	414	306182	135.21
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	893	608323	146.80
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	1887	686932	274.70
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	3157	585651	539.06
	"Alabama"	"01"	"1999"	"1999"	"55-64 years"	"55-64"	5041	410542	1227.89
	"Alabama"	"01"	"1999"	"1999"	"65-74 years"	"65-74"	8844	315928	2799.37
	"Alabama"	"01"	"1999"	"1999"	"75-84 years"	"75-84"	12472	194773	6403.35
	"Alabama"	"01"	"1999"	"1999"	"85+ years"	"85+"	10849	65953	16449.59
	"Alabama"	"01"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"< 1 year"	"1"	596	59597	1000.05
	"Alabama"	"01"	"2000"	"2000"	"1-4 years"	"1-4"	97	237068	40.92
	"Alabama"	"01"	"2000"	"2000"	"5-9 years"	"5-9"	55	315443	17.44
	"Alabama"	"01"	"2000"	"2000"	"10-14 years"	"10-14"	83	320463	25.90
	"Alabama"	"01"	"2000"	"2000"	"15-19 years"	"15-19"	299	324818	92.05
	"Alabama"	"01"	"2000"	"2000"	"20-24 years"	"20-24"	409	307272	133.11
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	854	602778	141.68
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	1836	685135	267.98
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	3265	599867	544.29
	"Alabama"	"01"	"2000"	"2000"	"55-64 years"	"55-64"	5110	415242	1230.61
	"Alabama"	"01"	"2000"	"2000"	"65-74 years"	"65-74"	8992	316567	2840.47
	"Alabama"	"01"	"2000"	"2000"	"75-84 years"	"75-84"	12521	195638	6400.09
	"Alabama"	"01"	"2000"	"2000"	"85+ years"	"85+"	10944	67212	16282.81
	"Alabama"	"01"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"< 1 year"	"1"	567	61537	921.40
	"Alabama"	"01"	"2001"	"2001"	"1-4 years"	"1-4"	98	235087	41.69
	"Alabama"	"01"	"2001"	"2001"	"5-9 years"	"5-9"	67	307526	21.79
	"Alabama"	"01"	"2001"	"2001"	"10-14 years"	"10-14"	94	323615	29.05
	"Alabama"	"01"	"2001"	"2001"	"15-19 years"	"15-19"	297	321866	92.27
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	409	318741	128.32
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	851	588949	144.49
